1         Baris     Adiguzel  Bilisim   Erkek     Ankara    20        541       
2         SERHAT    KACMAZ    ISSIZ     none      Istanbul  20        532810282 
3         Kemal     Bali      Bilisim   Erkek     Bursa     21        539       
4         Zeynep    Karabuk   Otomotiv  Kadin     Ankara    29        519       
5         Ayse      Nur       Enerji    Kadin     Antalya   18        509       
6         Ramazan   Kaplaner  Bilisim   Erkek     Izmir     26        569       
7         Funda     Satuk     Enerji    Kadin     Bursa     23        590       
8         Turan     Oz        Bilisim   Erkek     Istanbul  22        583       
9         ENGIN     BEYAZGUL  BILISIM   ERKEK     ISTANBUL  22        2312312   
10        Ceren     Kacar     Bilisim   Kadin     Malatya   21        542       
11        Kubra     Ozdemir   Bilisim   Kadin     Karabuk   20        532       
12        B.Can     Ugur      Cevirmen  Chad      Sirnak    102       563829102 
13        Yakup     Akdin     Bilisim   Erkek     Istanbul  19        539       
14        Ayla      Surgun    Cevirmen  Kadin     Bursa     20        221       
15        Surgun    Jale      Otomotiv  Erkek     Antalya   22        521       
16        Deniz     Jale      Otomotiv  Erkek     Antalya   10        578       
17        aa        bb        cc        dd        ee        ff        gg        
17        aa        bb        cc        dd        ee        ff        gg        
17        aa        bb        cc        dd        ee        ff        gg        
17        aa        bb        cc        dd        ee        ff        gg        
